"","PSY1.qc","PSY2.qc","PSY3.qc","PSY4.qc","PSY5.qc"
"75","1","1","1","1","1"
"76","1","1","1","1","1"
"77","1","1","1","1","1"
"78","1","5","1","1","1"
"79","1","5","1","1","1"
"80","1","3","1","1","1"
"81","1","5","1","1","1"
"82","1","5","1","1","1"
"83","1","5","1","1","1"
"84","1","3","1","1","1"
"85","1",NA,"1","1","1"
"86","1","3","1","1","1"
"87","1","3","1","1","1"
"88","1",NA,"1","1","1"
"89","1",NA,"1","1","1"
"90","1",NA,"1","1","1"
"91","1",NA,"1","1","1"
"92","5","1","1","1","1"
"93","5","1","1","1","1"
"94","5","1","1","1","1"
"95","1","1","1","1","1"
"96","1","1","1","1","1"
"97","1","1","1","1","1"
"98","1","1","1","1","1"
"99","1",NA,"1","1","1"
"100","1",NA,"1","1","1"
"101","1",NA,"1","1","1"
"102","1",NA,"1","1","1"
"103","1",NA,"1","1","1"
"104","1",NA,"1","1","1"
"105","1",NA,"1","1","1"
"106","1",NA,"1","1",NA
"107","1",NA,"1","1",NA
"108","1",NA,"1","1",NA
"109","1",NA,"1","1",NA
"110","1",NA,"1","1",NA
"111","1",NA,"1","1",NA
"112","1",NA,"1","1",NA
"113","1",NA,"1","1",NA
"114","1",NA,"1","1",NA
"115","1",NA,"1","1",NA
"116","1",NA,"1","1",NA
"117","1",NA,"1","1",NA
"118","1",NA,"1","1",NA
"119","1",NA,"1","1",NA
"120","1",NA,"1","1",NA
"121","1",NA,"1","1",NA
"122","1",NA,"1","1",NA
"123","1",NA,"1","1",NA
"124","1",NA,"1","1",NA
"125","1",NA,"1","1",NA
"126","1",NA,"1",NA,NA
"127",NA,"1","31","1",NA
"128","3","1","3","1",NA
"129","3","1","3","1",NA
"130","3","1","3","1",NA
"131","3","1","3","1",NA
"132","3","1","3","1",NA
"133","3","1","3","1",NA
"134",NA,"1",NA,"1",NA
"135",NA,"1",NA,"1",NA
"136",NA,"1",NA,"1",NA
"137",NA,"1",NA,"1",NA
"138",NA,"1",NA,"1",NA
"139",NA,"1",NA,"2",NA
"140",NA,"1",NA,"1",NA
"141",NA,"1",NA,"1",NA
"142",NA,"1",NA,"2",NA
"143",NA,"1",NA,"1",NA
"144",NA,"1",NA,"2",NA
"145",NA,"1",NA,"1",NA
"146",NA,"1",NA,"2",NA
"147",NA,"1",NA,"1",NA
"148",NA,"1","2","1","1"
"149",NA,"1","1","1","1"
"150",NA,"1","1","1","1"
"151",NA,"1","1","1","1"
"152",NA,"1","1","1","1"
"153",NA,"1","1","1","1"
"154",NA,"1","1","2","1"
"155",NA,"1","1","1","1"
"156",NA,"1","1","1","1"
"157",NA,"1","1","1","1"
"158",NA,"1","1","1","1"
"159",NA,"1","1","1","1"
"160",NA,"1","1","1","1"
"161",NA,"1","1","2","1"
"162","1","1","1","1","1"
"163","1","1","1","1","1"
"164","1","1","1","1","1"
"165","1","1","1","1","1"
"166","1","1","1","1","1"
"167","1","1","1","1","1"
"168","1","1","1","1","1"
"169","1","1",NA,"1",NA
"170","1","1",NA,"1",NA
"171","1","1",NA,"1",NA
"172","1","1",NA,"1",NA
"173","1","1",NA,"1",NA
"174","1","1",NA,"1",NA
"175","1","1",NA,"1",NA
"176","1","1","1","1","1"
"177","1","1","1","1","1"
"178","1","1","1","1","1"
"179","1","1","1","1","1"
"180","1","1","1","1","1"
"181","1","1","1","1","1"
"182","1","1","1","1","1"
"183","1","1","1","1","1"
"184","1","1","1","1","1"
"185","1","1","1","1","1"
"186","1","1","1","1","1"
"187","1","1","1","1","1"
"188","1","1","1","1","1"
"189","1","1","1","1","1"
"190","1","1","1","1","5"
"191","1","1","1","1","1"
"192","1","1","1","1","1"
"193","1","1","1","1","1"
"194","1","1","1","1","1"
"195","1","1","1","1","1"
"196","1","1","1","1","1"
"197","3","1","1","1","1"
"198","3","1","1","1","1"
"199","3","1","1","1","1"
"200","3","1","1","1","1"
"201","3","2","1","1","1"
"202","3","2","1","1","1"
"203","3","1","1","1","1"
"204",NA,"1","1","1","3"
"205",NA,"1","1","1","3"
"206",NA,"1","1","1","3"
"207",NA,"1","1","1","3"
"208",NA,"1","1","1","3"
"209",NA,"1","1","1","3"
"210",NA,"1","1","1","3"
"211","1","3","3","1",NA
"212","1","3","3","1",NA
"213","1","5","3","1",NA
"214","1","3","3","1",NA
"215","1","3","3","1",NA
"216","1","3","3","1",NA
"217","1","3","3","1","2"
"218","1",NA,NA,"1",NA
"219","1",NA,NA,"1",NA
"220","1",NA,NA,"1",NA
"221","1",NA,NA,"1",NA
"222","1",NA,NA,"1",NA
"223","1",NA,NA,"1",NA
"224","1",NA,NA,"1",NA
