"","PSY1.qc","PSY2.qc","PSY3.qc","PSY4.qc","PSY5.qc"
"1","4","4","1","1","4"
"2","4","4","1","1","4"
"3","4","4","1","1","3"
"4","4","4","1","1","3"
"5","4","4","1","1","3"
"6","4","4","1","1","3"
"7","4","4","1","1","3"
"8","3","1","5","1","4"
"9","5","1","5","1","4"
"10","3","1","5","1","4"
"11","5","1","5","1","2"
"12","3","1","5","1","4"
"13","3","1","5","1","1"
"14","3","1","5","1","4"
"15","3","1","5","4","4"
"16","3","1","5","4","4"
"17","3","1","5","4","4"
"18","3","1","5","4","4"
"19","3","1","5","4","4"
"20","3","1","5","4","4"
"21","3","1","5","4","4"
"22","4","1","1","4","4"
"23","4","1","1","4","4"
"24","4","1","1","4","4"
"25","4","1","1","4","4"
"26","4","1","1","4","4"
"27","4","1","1","4","4"
"28","4","1","1","4","4"
"29","4","1","1","4","4"
"30","4","1","1","4","4"
"31","4","1","1","4","4"
"32","4","1","1","4","4"
"33","4","1","1","4","4"
"34","4","1","1","4","4"
"35","4","1","1","4","4"
"36","4","5","1","1","1"
"37","4","5","1","1","1"
"38","4","5","1","1","1"
"39","4","5","1","1","1"
"40","4","5","1","1","1"
"41","4","5","1","1","1"
"42","4","5","1","1","1"
"43",NA,"3",NA,"1","1"
"44",NA,"4",NA,"1","1"
"45",NA,"3",NA,"1","1"
"46",NA,"3",NA,"1","1"
"47",NA,"3",NA,"1","1"
"48",NA,"3",NA,"1","1"
"49",NA,"3",NA,"1","1"
"50","4","3","4","1","1"
"51","4","3","4","1","1"
"52","4","3","4","1","1"
"53","4","3","4","1","1"
"54","4","3","4","1","1"
"55","4","3","4","1","1"
"56","4","3","4","1","1"
"57","1","5","3","4","1"
"58","1","5",NA,"4","1"
"59","1","5",NA,"4","1"
"60","1","5",NA,"4","1"
"61","1","5",NA,"4","1"
"62","1","5",NA,"4","1"
"63","1","5",NA,"4","1"
"64","1","3",NA,"4","1"
"65","1","3",NA,"4","1"
"66","1","3",NA,"4","1"
"67","1","3",NA,"4","1"
"68","1","3",NA,"4","1"
"69","1","3",NA,"4","1"
"70","1","3",NA,"4","1"
"71","1","1","1","1","1"
"72","1","1","1","1","1"
"73","1","1","1","1","1"
"74","1","1","1","1","1"
