"","Yr","DOY","Psy_num","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","ind","tag","treatment","doy.yr","DOY.yr"
"41",2018,185,"PSY5",-0.226238480292359,0.0154512782914499,7,18.1514285714286,0.15377782365354,5,10999,"mwd","185-18",2018-07-04
"42",2018,185,"PSY6",-0.473290865117319,0.00877656639495918,7,18.1514285714286,0.15377782365354,6,588,"swd","185-18",2018-07-04
"43",2018,185,"PSY9",-0.749452663033683,0.00813305552397356,7,18.1514285714286,0.15377782365354,9,600,"mwd","185-18",2018-07-04
"44",2018,186,"PSY1",-0.26235802657324,0.0353937630202684,7,18.8371428571429,0.0977606406338607,1,590,"swd","186-18",2018-07-05
"45",2018,186,"PSY5",-0.285583585932352,0.0498994040106535,7,18.8371428571429,0.0977606406338607,5,10999,"mwd","186-18",2018-07-05
"46",2018,186,"PSY6",-1.47137529022697,0.0390909452688323,7,18.8371428571429,0.0977606406338607,6,588,"swd","186-18",2018-07-05
"47",2018,186,"PSY8",-2.27884422106465,0.0662645772071592,7,18.8371428571429,0.0977606406338607,8,10954,"control","186-18",2018-07-05
"48",2018,186,"PSY9",-1.04683164331341,0.0375470363957236,7,18.8371428571429,0.0977606406338607,9,600,"mwd","186-18",2018-07-05
"49",2018,187,"PSY1",-0.956629608405509,0.0206407826372104,7,19.3457142857143,0.166318684343956,1,590,"swd","187-18",2018-07-06
"50",2018,187,"PSY2",-1.42373746270914,0.0967700429373543,7,19.3457142857143,0.166318684343956,2,592,"mwd","187-18",2018-07-06
"51",2018,187,"PSY3",-0.881027673780683,0.0261455929006361,7,19.3457142857143,0.166318684343956,3,589,"control","187-18",2018-07-06
"52",2018,187,"PSY4",-0.481395631461466,0.0197065920483398,7,19.3457142857143,0.166318684343956,4,498,"control","187-18",2018-07-06
"53",2018,187,"PSY5",-0.2491156138744,0.0308027734927249,7,19.3457142857143,0.166318684343956,5,10999,"mwd","187-18",2018-07-06
"54",2018,187,"PSY6",-1.95328709287235,0.0940176665139682,7,19.3457142857143,0.166318684343956,6,588,"swd","187-18",2018-07-06
"55",2018,187,"PSY7",-1.08914775452108,0.0798553019475649,7,19.3457142857143,0.166318684343956,7,591,"swd","187-18",2018-07-06
"56",2018,187,"PSY8",-1.75054547631141,0.0172438938835084,7,19.3457142857143,0.166318684343956,8,10954,"control","187-18",2018-07-06
"57",2018,187,"PSY9",-0.621627403471191,0.0224518495624666,7,19.3457142857143,0.166318684343956,9,600,"mwd","187-18",2018-07-06
"58",2018,188,"PSY1",-1.21749197279202,0.0208092760158746,7,20.3714285714286,0.0456174569759479,1,590,"swd","188-18",2018-07-07
"59",2018,188,"PSY3",-0.860582356095592,0.0285179161249294,7,20.3714285714286,0.0456174569759479,3,589,"control","188-18",2018-07-07
"60",2018,188,"PSY4",-0.265123664063686,0.0228123525258161,7,20.3714285714286,0.0456174569759479,4,498,"control","188-18",2018-07-07
"61",2018,188,"PSY5",-0.301902361565977,0.0389273892625651,7,20.3714285714286,0.0456174569759479,5,10999,"mwd","188-18",2018-07-07
"62",2018,188,"PSY7",-0.557221483643991,0.0626017455095894,7,20.3714285714286,0.0456174569759479,7,591,"swd","188-18",2018-07-07
"63",2018,188,"PSY9",-0.584704827762971,0.0290276878682047,7,20.3714285714286,0.0456174569759479,9,600,"mwd","188-18",2018-07-07
"64",2018,189,"PSY1",-1.28530010299618,0.0112851969776374,7,19.73,0.0877496438739211,1,590,"swd","189-18",2018-07-08
"65",2018,189,"PSY3",-1.79494034268669,0.0117163031383764,7,19.73,0.0877496438739211,3,589,"control","189-18",2018-07-08
"66",2018,189,"PSY4",-0.498428428663583,0.00985665853816823,7,19.73,0.0877496438739211,4,498,"control","189-18",2018-07-08
"67",2018,189,"PSY5",-0.25053109860214,0.0137321920411465,7,19.73,0.0877496438739211,5,10999,"mwd","189-18",2018-07-08
"68",2018,189,"PSY7",-1.12645654485023,0.0142218998139337,7,19.73,0.0877496438739211,7,591,"swd","189-18",2018-07-08
"69",2018,189,"PSY8",-0.396345923690699,0.0184989244423489,7,19.73,0.0877496438739211,8,10954,"control","189-18",2018-07-08
"70",2018,189,"PSY9",-0.584216940659491,0.00900135942934665,7,19.73,0.0877496438739211,9,600,"mwd","189-18",2018-07-08
"71",2018,190,"PSY2",-0.768187003263437,0.0250769908401775,7,19.4657142857143,0.113263283673799,2,592,"mwd","190-18",2018-07-09
"72",2018,190,"PSY4",-0.5968409455185,0.0129047913765712,7,19.4657142857143,0.113263283673799,4,498,"control","190-18",2018-07-09
"73",2018,190,"PSY5",-0.0333374826245323,0.0232945326969888,7,19.4657142857143,0.113263283673799,5,10999,"mwd","190-18",2018-07-09
"74",2018,190,"PSY6",-0.692605065304603,0.0253376680359584,7,19.4657142857143,0.113263283673799,6,588,"swd","190-18",2018-07-09
"75",2018,190,"PSY7",-1.94759705648349,0.0492359247616783,6,19.4633333333333,0.123881663964715,7,591,"swd","190-18",2018-07-09
"76",2018,190,"PSY8",-1.09307785279163,0.0395369731395048,7,19.4657142857143,0.113263283673799,8,10954,"control","190-18",2018-07-09
"77",2018,190,"PSY9",-1.20394918819979,0.0163618486038363,7,19.4657142857143,0.113263283673799,9,600,"mwd","190-18",2018-07-09
"78",2018,191,"PSY1",-0.771264999069859,0.0259663955880608,7,20.78,0.129614813968157,1,590,"swd","191-18",2018-07-10
"79",2018,191,"PSY3",-1.40236393653148,0.0177442217850336,7,20.78,0.129614813968157,3,589,"control","191-18",2018-07-10
"80",2018,191,"PSY4",-0.696227342844387,0.0144338474500739,7,20.78,0.129614813968157,4,498,"control","191-18",2018-07-10
"81",2018,191,"PSY5",-0.790040912325785,0.0371346212508313,7,20.78,0.129614813968157,5,10999,"mwd","191-18",2018-07-10
"82",2018,191,"PSY6",-0.896479532224173,0.0304739835213865,7,20.78,0.129614813968157,6,588,"swd","191-18",2018-07-10
"83",2018,192,"PSY1",-1.00202340691854,0.0137434274390173,7,20.1571428571429,0.0138013111868481,1,590,"swd","192-18",2018-07-11
"84",2018,192,"PSY3",-0.58191709633559,0.021867049914008,7,20.1571428571429,0.0138013111868481,3,589,"control","192-18",2018-07-11
