"","Yr","DOY","Psy_num","ind","treatment","tag","lwp.m","lwp.sd","lwp.n","Temp.m","Temp.sd","flags","doy.yr","DOY.yr"
"1",2018,169,"PSY3",3,"control",589,-0.836763694149789,0.012248905875044,7,17.0314285714286,0.0328778402720186,0,"169-18",2018-06-18
"2",2018,169,"PSY4",4,"control",498,-0.462254661202986,0.0127283036530604,7,17.0314285714286,0.0328778402720186,0,"169-18",2018-06-18
"3",2018,171,"PSY2",2,"mwd",592,-0.530511845929812,0.0775086388606072,7,17.4614285714286,0.0498091596089751,0,"171-18",2018-06-20
"4",2018,171,"PSY4",4,"control",498,-0.385031994486365,0.0148636089438758,7,17.4614285714286,0.0498091596089751,0,"171-18",2018-06-20
"5",2018,171,"PSY5",5,"mwd",10999,0.174698483855764,0.00805340997312643,2,17.44,0.0424264068711919,0,"171-18",2018-06-20
"6",2018,171,"PSY7",7,"swd",591,0.0658891641135021,0.0138419176835503,2,17.45,0.0848528137423864,0,"171-18",2018-06-20
"7",2018,171,"PSY8",8,"control",10954,-0.949652756683123,0.011622094259616,7,17.4614285714286,0.0498091596089751,0,"171-18",2018-06-20
"8",2018,173,"PSY2",2,"mwd",592,-0.160162111411278,0.00679275318323864,7,17.9814285714286,0.237797432802835,0,"173-18",2018-06-22
"9",2018,173,"PSY7",7,"swd",591,0.0684611271587382,NA,1,17.64,NA,0,"173-18",2018-06-22
"10",2018,173,"PSY9",9,"mwd",600,-0.218967315643354,0.0058207276424868,7,17.9814285714286,0.237797432802835,0,"173-18",2018-06-22
"11",2018,176,"PSY2",2,"mwd",592,-0.236120821633802,0.0699610086684113,7,19.2714285714286,0.0587164291116129,0,"176-18",2018-06-25
"12",2018,176,"PSY3",3,"control",589,-0.771996844822762,0.00552170161350417,7,19.2714285714286,0.0587164291116129,0,"176-18",2018-06-25
"13",2018,176,"PSY9",9,"mwd",600,-0.308619412172049,0.0203149263168174,7,19.2714285714286,0.0587164291116129,0,"176-18",2018-06-25
"14",2018,178,"PSY2",2,"mwd",592,-0.710562323556339,0.0553449676206893,7,18.44,0.0115470053837918,0,"178-18",2018-06-27
"15",2018,178,"PSY3",3,"control",589,-0.836405173356555,0.00942879466926895,7,18.44,0.0115470053837918,0,"178-18",2018-06-27
"16",2018,178,"PSY9",9,"mwd",600,-0.376481259995689,0.0213942933136098,7,18.44,0.0115470053837918,0,"178-18",2018-06-27
"17",2018,180,"PSY3",3,"control",589,-1.02548483366377,0.0121342762473465,7,18.0371428571429,0.188742707206953,0,"180-18",2018-06-29
"18",2018,180,"PSY4",4,"control",498,-0.888617048891331,0.0182084533090697,7,18.0371428571429,0.188742707206953,0,"180-18",2018-06-29
"19",2018,180,"PSY5",5,"mwd",10999,-0.250951694967901,0.0129044430994402,7,18.0371428571429,0.188742707206953,0,"180-18",2018-06-29
"20",2018,180,"PSY9",9,"mwd",600,-0.463955016009078,0.00703795603237065,7,18.0371428571429,0.188742707206953,0,"180-18",2018-06-29
"21",2018,183,"PSY4",4,"control",498,-1.11182278393418,0.00697417697795988,7,18.4871428571429,0.0325137333621175,0,"183-18",2018-07-02
"22",2018,183,"PSY5",5,"mwd",10999,-0.267342763660803,0.0110117514130298,7,18.4871428571429,0.0325137333621175,0,"183-18",2018-07-02
"23",2018,183,"PSY9",9,"mwd",600,-0.643082302174291,0.0144771338065906,7,18.4871428571429,0.0325137333621175,0,"183-18",2018-07-02
