Date,Collection_num
2018-05-16,1
2018-05-16,1
2018-05-16,1
2018-05-16,1
2018-05-16,1
2018-05-16,1
2018-05-16,1
2018-05-16,1
2018-05-16,1
2018-05-23,2
2018-05-23,2
2018-05-23,2
2018-05-23,2
2018-05-23,2
2018-05-23,2
2018-05-23,2
2018-05-23,2
2018-05-23,2
2018-05-31,3
2018-05-31,3
2018-05-31,3
2018-05-31,3
2018-05-31,3
2018-05-31,3
2018-05-31,3
2018-05-31,3
2018-05-31,3
2018-06-05,4
2018-06-05,4
2018-06-05,4
2018-06-05,4
2018-06-05,4
2018-06-05,4
2018-06-05,4
2018-06-05,4
2018-06-05,4
2018-06-12,5
2018-06-12,5
2018-06-12,5
2018-06-12,5
2018-06-12,5
2018-06-12,5
2018-06-12,5
2018-06-12,5
2018-06-12,5
2018-06-20,6
2018-06-20,6
2018-06-20,6
2018-06-20,6
2018-06-20,6
2018-06-20,6
2018-06-20,6
2018-06-20,6
2018-06-20,6
2018-07-03,8
2018-06-27,7
2018-07-05,9
2018-07-06,10
2018-07-07,11
2018-07-08,12
2018-07-09,12
2018-07-10,13
2018-07-11,14
2018-07-14,15
2018-07-16,16
2018-07-17,17
2018-07-18,18
2018-07-20,19
2018-07-23,20
2018-07-25,21
