"","PSY6.qc","PSY7.qc","PSY8.qc","PSY9.qc"
"1",NA,NA,NA,NA
"2",NA,NA,NA,NA
"3",NA,NA,NA,NA
"4",NA,NA,NA,NA
"5",NA,NA,NA,NA
"6",NA,NA,NA,NA
"7",NA,NA,NA,NA
"8","FALSE",NA,"TRUE","FALSE"
"9","FALSE",NA,"TRUE","FALSE"
"10","FALSE",NA,"TRUE","FALSE"
"11","FALSE",NA,"TRUE","FALSE"
"12","FALSE",NA,"TRUE","FALSE"
"13","FALSE",NA,"TRUE","FALSE"
"14","FALSE",NA,"TRUE","FALSE"
"15","FALSE",NA,"TRUE","TRUE"
"16","FALSE",NA,"TRUE","TRUE"
"17","FALSE",NA,"TRUE","TRUE"
"18","FALSE",NA,"TRUE","TRUE"
"19","FALSE",NA,"TRUE","TRUE"
"20","FALSE",NA,"TRUE","TRUE"
"21","FALSE",NA,"TRUE","TRUE"
"22","FALSE",NA,"TRUE","FALSE"
"23","FALSE",NA,"TRUE","TRUE"
"24","FALSE",NA,"TRUE","FALSE"
"25","FALSE",NA,"TRUE","FALSE"
"26","FALSE",NA,"TRUE","TRUE"
"27","FALSE",NA,"TRUE","TRUE"
"28","FALSE",NA,"TRUE","TRUE"
"29",NA,NA,"TRUE","TRUE"
"30",NA,NA,"TRUE","FALSE"
"31",NA,NA,"TRUE","TRUE"
"32",NA,NA,"TRUE","TRUE"
"33","FALSE",NA,"TRUE","TRUE"
"34",NA,NA,"TRUE","TRUE"
"35",NA,NA,"TRUE","TRUE"
"36",NA,"FALSE","FALSE","TRUE"
"37",NA,"FALSE","FALSE","TRUE"
"38",NA,"FALSE","FALSE","TRUE"
"39",NA,"FALSE","FALSE","TRUE"
"40",NA,"FALSE","FALSE","TRUE"
"41",NA,"FALSE","FALSE","TRUE"
"42",NA,"FALSE","FALSE","TRUE"
"43",NA,NA,NA,"TRUE"
"44",NA,NA,NA,"TRUE"
"45",NA,NA,NA,"TRUE"
"46",NA,NA,NA,"TRUE"
"47",NA,NA,NA,"TRUE"
"48",NA,NA,NA,"TRUE"
"49",NA,NA,"TRUE","TRUE"
"50",NA,NA,NA,"TRUE"
"51",NA,NA,NA,"TRUE"
"52",NA,NA,NA,"TRUE"
"53",NA,NA,NA,"TRUE"
"54",NA,NA,NA,"TRUE"
"55",NA,NA,NA,"TRUE"
"56",NA,NA,NA,"TRUE"
"57","TRUE",NA,NA,"TRUE"
"58","TRUE",NA,NA,"TRUE"
"59","TRUE",NA,NA,"TRUE"
"60","TRUE",NA,NA,"TRUE"
"61","TRUE",NA,NA,"TRUE"
"62","TRUE",NA,NA,"TRUE"
"63","TRUE",NA,NA,"TRUE"
"64","TRUE",NA,"TRUE","TRUE"
"65","TRUE",NA,"TRUE","TRUE"
"66","TRUE",NA,"TRUE","TRUE"
